Block,Rows_num,L_c,R,G,t_G,Repetition,F_max,Impulse,u_01,u_12,u_23,WG0_max,WG1_max,WG2_max,WG3_max,Ref_WG0_max,Ref_WG1_max,Ref_WG2_max,Ref_WG3_max,Ref_u_01,Ref_u_12,Ref_u_23,q_max_0,V_0,p_dot_max_0,p_0,Deflection
A,1,0.2265,400,300,2,1,194.3333791,1027.260943,2.736318408,1.803278689,2.53164557,0.116856764,0.12823135,0.125644535,0.065236859,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Submerged
A,1,0.2265,400,100,2,1,105.9196488,330.5391834,2.182539683,1.273148148,1.538461538,0.06556052,0.110412845,0.057099011,0.034795275,0.077906234,0.068087918,0.051928268,0.047448375,2.222329781,1.960906669,1.951657677,0.129827486,0.302373696,233.0820548,464.2082875,Transition
A,1,0.2265,400,200,2,1,166.6839944,762.6810385,2.709359606,1.636904762,2.083333333,0.092961339,0.122604456,0.104756683,0.056400704,0.091755435,0.087167872,0.068599394,0.06232713,2.590820531,2.483510182,2.542738538,0.184646937,0.4946573,406.593,896.3623799,Transition
A,1,0.2265,400,300,1,1,177.936651,530.6466623,2.619047619,1.702786378,2.040816327,0.084825098,0.11456528,0.064829044,0.040906713,0.081521456,0.067832272,0.048733791,0.047638836,2.640913909,2.547490216,2.624250086,0.164105374,0.339825952,357.5510933,556.0606835,Transition
A,1,0.2265,400,200,1,1,134.2120425,355.5510339,2.534562212,1.482479784,1.57480315,0.061716501,0.09285058,0.051152702,0.035743143,0.079067114,0.059648659,0.044510073,0.042423604,2.585116553,2.422052747,2.44147768,0.155796045,0.28318027,317.4937242,442.5177483,Emerged
A,1,0.2265,400,100,1,1,52.8714107,282.9269751,2.123552124,1.091269841,0.877192982,0.052937583,0.062885149,0.029573994,0.023065913,0.05707282,0.045183335,0.048443095,0.030334305,2.254112522,1.844506568,1.596338133,0.094165678,0.180939732,166.045271,235.8635303,Emerged
A,1,0.2265,400,100,2,2,103.3476131,530.2124786,2.115384615,1.30952381,1.418439716,0.067009189,0.107276977,0.052326328,0.034424049,0.077906234,0.068087918,0.051928268,0.047448375,2.222329781,1.960906669,1.951657677,0.129827486,0.302373696,233.0820548,464.2082875,Emerged
A,1,0.2265,400,200,1,2,142.2496544,560.4280959,2.433628319,1.510989011,1.587301587,0.074030594,0.095089757,0.048119701,0.034845106,0.079067114,0.059648659,0.044510073,0.042423604,2.585116553,2.422052747,2.44147768,0.155796045,0.28318027,317.4937242,442.5177483,Transition
A,1,0.2265,400,200,2,2,163.7904541,847.2373017,2.466367713,1.646706587,2.247191011,0.091711688,0.110135118,0.083798303,0.057871391,0.091755435,0.087167872,0.068599394,0.06232713,2.590820531,2.483510182,2.542738538,0.184646937,0.4946573,406.593,896.3623799,Transition
A,1,0.2265,400,300,1,2,164.4334631,620.0322363,2.570093458,1.681957187,1.869158879,0.075682854,0.107435763,0.061801505,0.03755968,0.081521456,0.067832272,0.048733791,0.047638836,2.640913909,2.547490216,2.624250086,0.164105374,0.339825952,357.5510933,556.0606835,Transition
A,1,0.2265,400,300,2,2,179.8656778,986.8423325,2.570093458,1.729559748,2.247191011,0.111375403,0.142626343,0.115225985,0.061470381,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Transition
A,1,0.2265,400,100,1,3,52.8714107,126.4183562,2.123552124,1.020408163,1.01010101,0.054754049,0.071933282,0.032106908,0.025341723,0.05707282,0.045183335,0.048443095,0.030334305,2.254112522,1.844506568,1.596338133,0.094165678,0.180939732,166.045271,235.8635303,Emerged
A,1,0.2265,400,100,2,3,99.81106383,396.4339044,2.1484375,1.291079812,1.418439716,0.069856499,0.121896574,0.050891892,0.037344891,0.077906234,0.068087918,0.051928268,0.047448375,2.222329781,1.960906669,1.951657677,0.129827486,0.302373696,233.0820548,464.2082875,Emerged
A,1,0.2265,400,200,1,3,145.4646991,503.895754,2.5,1.506849315,1.666666667,0.067392804,0.096528679,0.045531362,0.033902362,0.079067114,0.059648659,0.044510073,0.042423604,2.585116553,2.422052747,2.44147768,0.155796045,0.28318027,317.4937242,442.5177483,Transition
A,1,0.2265,400,200,2,3,169.8990391,721.1872452,2.466367713,1.671732523,2.173913043,0.089979902,0.125640747,0.098822513,0.059522201,0.091755435,0.087167872,0.068599394,0.06232713,2.590820531,2.483510182,2.542738538,0.184646937,0.4946573,406.593,896.3623799,Transition
A,1,0.2265,400,300,1,3,173.4355883,598.0323764,2.558139535,1.681957187,1.886792453,0.073953505,0.113184705,0.064091487,0.039096232,0.081521456,0.067832272,0.048733791,0.047638836,2.640913909,2.547490216,2.624250086,0.164105374,0.339825952,357.5510933,556.0606835,Transition
A,1,0.2265,400,300,2,3,183.402227,860.7596592,2.534562212,1.735015773,2.352941176,0.112362002,0.11736568,0.109876888,0.062844427,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Transition
A,1,0.2265,800,100,1,1,182.5502402,223.2347023,2.972972973,1.95035461,2.040816327,0.078536128,0.074466944,0.06028923,0.038267522,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Transition
A,1,0.2265,800,100,1,2,175.7986463,169.4595023,3.021978022,1.964285714,2.127659574,0.086190378,0.074245976,0.068254188,0.045976894,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Transition
A,1,0.2265,800,100,2,1,170.6545747,379.1222067,3.038674033,1.943462898,2.173913043,0.101634975,0.092784393,0.106344121,0.074970933,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Transition
A,1,0.2265,800,100,2,2,161.3309449,343.112918,3.197674419,1.890034364,2.222222222,0.098974272,0.104629767,0.101614316,0.081754324,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Transition
A,1,0.2265,800,200,1,1,269.999457,555.8237902,3.716216216,2.466367713,3.333333333,0.105727321,0.101378118,0.093583755,0.076609803,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Submerged
A,1,0.2265,800,200,1,2,266.7844123,586.2900685,3.691275168,2.477477477,3.225806452,0.104140804,0.101068347,0.099475712,0.075371052,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Submerged
A,1,0.2265,800,200,1,3,285.7531763,775.9309613,3.525641026,2.488687783,3.225806452,0.107543948,0.095566005,0.099001832,0.072517079,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Submerged
A,1,0.2265,800,100,2,3,178.6921865,621.8441311,3.072625698,1.877133106,2.272727273,0.098173035,0.093435374,0.098114936,0.081308316,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Submerged
A,1,0.2265,800,100,1,3,191.5523654,418.7837059,3.038674033,1.957295374,2.083333333,0.080949768,0.081468824,0.063081609,0.045081252,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Transition
